police_force,Local authority,Ofsted region,Provision type,Sector,Places,Organisation which owns the provider
Derbyshire,derby,East Midlands,children's home,Private,2.0,5ab Care Ltd
Derbyshire,derby,East Midlands,children's home,Private,5.0,Blue Mountain Homes Ltd
Derbyshire,derby,East Midlands,children's home,Private,4.0,Blue Mountain Homes Ltd
Derbyshire,derby,East Midlands,children's home,Private,4.0,Blue Mountain Homes Ltd
Derbyshire,derby,East Midlands,children's home,Local Authority,5.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,6.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,10.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,5.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,5.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Local Authority,6.0,Derby City Council
Derbyshire,derby,East Midlands,children's home,Private,5.0,Esland North Limited
Derbyshire,derby,East Midlands,children's home,Private,4.0,Haven Care Group Ltd
Derbyshire,derby,East Midlands,children's home,Private,4.0,Haven Care Group Ltd
Derbyshire,derby,East Midlands,children's home,Private,5.0,Homes 2 Inspire Limited
Derbyshire,derby,East Midlands,children's home,Private,3.0,Platform Childcare Ltd
Derbyshire,derby,East Midlands,children's home,Private,3.0,Sunlight Children's Care Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,8.0,Arnfield Care Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,7.0,Arnfield Care Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Ashwood Children's Care Home Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Ashwood Children's Care Home Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,1.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,2.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Blue Mountain Homes Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,5.0,Cambian Childcare Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,4.0,Care 4 Every Child Limited
Derbyshire,derbyshire,East Midlands,children's home,Private,1.0,Clouds Children's Care Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,3.0,Clouds Children's Care Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,1.0,Consistent Quality Support Ltd
Derbyshire,derbyshire,East Midlands,children's home,Private,2.0,Consistent Quality Support Ltd
