police_force,0-11yrs,12-17yrs,18-39yrs,40-59yrs,60+yrs,Unknown
Avon and Somerset,2.3,55.7,25.2,11.9,4.7,0.3
Bedfordshire,3.3,64.1,20.7,8,3.8,0
Cambridgeshire,2.7,56.3,25.9,11.1,4,0
Cheshire 1,x,x,x,x,x,x
City of London,0,10,50,40,0,0
Cleveland,3,65.5,21.3,8.1,2.1,0
Cumbria 1,x,x,x,x,x,x
Derbyshire,2.4,62.4,22.3,9,3.8,0
Devon and Cornwall,1.3,56.2,25.2,12.6,4.6,0
Dorset,2.1,47,28.6,13.2,7.4,1.7
Durham 1,x,x,x,x,x,x
Essex,3.1,59,21.2,9.5,7.2,0
Gloucestershire 1,x,x,x,x,x,x
Greater Manchester,1.9,44.2,34.8,14.5,4.3,0.4
Hampshire,1.4,66.8,17.6,9.7,4.3,0
Hertfordshire,2.8,57.7,23.2,10.2,6.2,0
Humberside,2.9,70.8,14.9,7,4.4,0
Kent,2.1,58.3,23.8,10.5,5.2,0
Lancashire 1,x,x,x,x,x,x
Leicestershire,2.5,56.7,24.9,11.5,4.4,0
Lincolnshire,3.4,48.3,29.7,13.2,5.4,0
Merseyside 1,x,x,x,x,x,x
Metropolitan 1,x,x,x,x,x,x
Norfolk,2.5,58.8,22,12.2,4.6,0
North Yorkshire,2.3,66.2,18.4,8,5.1,0.1
Northamptonshire,1.7,57.6,27.6,9.2,3.9,0
Northumbria,2.8,46.9,34.2,11.3,4.8,0.1
Nottinghamshire,8,51.9,20.8,9.5,9.7,0
South Yorkshire 1,x,x,x,x,x,x
Staffordshire 1,x,x,x,x,x,x
Suffolk,1.4,74,15,7,2.6,0
Surrey,1.2,35.1,36.5,17.6,9.6,0.1
Sussex,1,58,27.2,9.3,4.5,0
Thames Valley,1.5,60.9,24.7,9.8,2.9,0.2
Warwickshire,1.9,66.5,20.5,7.9,3.3,0
West Mercia,2.4,53.4,25.6,13.8,4.9,0
West Midlands,2.2,65.5,19.8,8.3,4.2,0
West Yorkshire,3.5,57.3,24,9.7,5.3,0.2
Wiltshire,2,61.2,24.5,10.3,1.9,0
